Column: age
  Row 0: 25.536574346764958
  Row 1: 24.884261540775146
  Row 2: 22.838640802570836
  Row 3: 27.029099864547284
  Row 4: 24.73120416696681
  Row 5: 22.535725742914828
  Row 6: 25.118748316265496
  Row 7: 20.13656680887465
  Row 8: 22.880905777501617
  Row 9: 23.140487590680113
  Row 10: 27.113460029650277
  Row 11: 31.717507421317983
  Row 12: 28.065336564052856
  Row 13: 31.1194753471676
  Row 14: 33.38451418607462
  Row 15: 27.05776563923949
  Row 16: 30.492431923129217
  Row 17: 29.599864639533923
  Row 18: 26.890761960664157
  Row 19: 27.15439313824634
  Row 20: 30.735271142185947
  Row 21: 32.66043013738645
  Row 22: 34.14028223521694
  Row 23: 35.55715168499642
  Row 24: 34.00938595682155
  Row 25: 35.566337736266746
  Row 26: 33.39223835952559
  Row 27: 32.41496106253666
  Row 28: 34.139786393689036
  Row 29: 35.3623196946293

Column: salary
  Row 0: 46548.78959730632
  Row 1: 50891.91579326457
  Row 2: 49547.572892984484
  Row 3: 50471.427963144546
  Row 4: 54056.15657934432
  Row 5: 45683.741160919926
  Row 6: 52694.47201357782
  Row 7: 54745.79525005514
  Row 8: 47758.42628571103
  Row 9: 50586.54206061283
  Row 10: 56302.170063870326
  Row 11: 63373.741307269665
  Row 12: 59219.51233249285
  Row 13: 61500.381407140034
  Row 14: 62588.453166082676
  Row 15: 63116.43707170023
  Row 16: 57195.62024521629
  Row 17: 61216.21278759532
  Row 18: 56112.163758079
  Row 19: 64472.43300950489
  Row 20: 65337.740757304615
  Row 21: 65759.29157487318
  Row 22: 70659.05189124895
  Row 23: 70545.55450528083
  Row 24: 70409.38427895022
  Row 25: 66341.483385091
  Row 26: 68734.11013826256
  Row 27: 73412.18177393754
  Row 28: 69543.05294361239
  Row 29: 70155.73225863659

